state,date,so2,no2,rspm,spm
Haryana,2008,9.668032786885247,14.194166666666668,166.04918032786884,234.3846153846154
Haryana,2009,12.694117647058825,27.29117647058823,274.94117647058823,327.64516129032256
Haryana,2010,14.634408602150538,23.672043010752688,161.5779569892473,361.13461538461536
Haryana,2011,13.702272727272728,27.795454545454547,143.92938496583145,
Haryana,2012,9.711340206185566,27.859106529209622,159.6644329896907,
Haryana,2013,12.168141592920353,25.920353982300885,190.6283185840708,
Haryana,2014,13.110619469026549,24.349557522123895,178.3849557522124,
Himachal Pradesh,2001,3.2093749999999996,12.777083333333332,,
Himachal Pradesh,2002,3.508333333333333,14.620833333333321,,156.56338028169014
Himachal Pradesh,2004,3.4740034662045063,12.746127366609294,,188.24173913043478
Himachal Pradesh,2005,5.27745664739884,16.775200000000012,39.34615384615385,212.66091954022988
Himachal Pradesh,2006,4.889176829268301,15.584556574923546,91.27146171693735,265.27777777777777
Himachal Pradesh,2007,3.6019960079840314,13.213611859838263,87.34767025089606,213.76417370325694
Himachal Pradesh,2008,3.247016706443913,12.435258814703666,107.46584699453553,204.56279701289884
Himachal Pradesh,2009,3.5369165487977394,14.283506686478463,96.43218552354182,183.54602076124567
Himachal Pradesh,2010,2.756587202007528,14.698066126013725,102.70642201834862,
Himachal Pradesh,2011,2.558982683982684,12.415560640732265,92.99582289055974,
Himachal Pradesh,2012,2.054054054054054,14.09573810994441,92.93574828133262,
Himachal Pradesh,2013,2.159065804118114,14.252573438146463,91.1989914662529,
Himachal Pradesh,2014,2.1472187369301547,14.10376569037657,89.68555107525401,
Jammu & Kashmir,2009,8.430526315789475,11.990526315789475,99.48936170212765,196.22105263157894
Jammu & Kashmir,2010,6.444444444444445,14.306666666666667,111.67873303167421,
Jammu & Kashmir,2011,5.301587301587301,11.85483870967742,105.93548387096774,
Jammu & Kashmir,2012,5.811881188118812,12.301980198019802,119.46078431372548,
Jammu & Kashmir,2013,14.741379310344827,4.771551724137931,118.09333333333333,
Jammu & Kashmir,2014,5.3812154696132595,12.640883977900552,122.98882681564245,
Jharkhand,2004,26.523786407766995,57.73780856423173,162.5371287128713,278.59158415841586
Jharkhand,2005,26.237214611872158,49.413698630137,141.52727272727273,279.925
Jharkhand,2006,32.22213740458014,52.89847328244272,150.70229007633588,270.55725190839695
Jharkhand,2007,26.060732984293207,49.7123909249563,147.8658536585366,249.5741710296684
Jharkhand,2008,25.671150097465862,44.04035087719296,161.55086372360844,261.4538310412574
Jharkhand,2009,25.650110375275947,42.802654867256614,186.9145299145299,326.6068376068376
Jharkhand,2010,23.514099221776924,39.51568093385213,190.1105336721728,289.8385314685315
Jharkhand,2011,21.257104194857916,38.37618403247632,189.69647696476966,
Jharkhand,2012,22.757668711656443,41.5,174.1996974281392,
Jharkhand,2013,22.32160993653277,40.95242635657505,151.1040022172062,
Jharkhand,2014,13.863333333333333,36.159468438538205,162.92739273927393,
Karnataka,2001,20.819642857142856,25.873214285714287,,133.34
Karnataka,2002,16.071666666666665,26.228333333333318,,70.96666666666667
Karnataka,2004,8.890434782608695,40.73913043478261,65.5040695652174,129.1895652173913
Karnataka,2005,10.36987951807229,35.13602739726026,60.72976190476191,135.09404761904761
Karnataka,2006,12.822597137014299,26.536900369003675,62.17183770883055,164.8030303030303
Karnataka,2007,12.432494099134527,25.473413258110032,74.64857341684063,182.88169798190674
Karnataka,2008,11.861159169550147,26.16227371469957,77.71026011560694,194.31069364161849
Karnataka,2009,10.849551166965853,26.637931034482804,81.78676470588235,196.9828431372549
Karnataka,2011,10.332100769603175,20.992033165104544,70.48810382119683,
Karnataka,2012,11.253374233128845,23.384995617879053,87.84615249780882,
Karnataka,2013,8.545924967658474,18.009486847779215,82.10349288486417,
Karnataka,2014,8.320222317229586,18.55964087216759,88.74902131361462,
Kerala,2001,9.977639751552795,14.64347826086957,,163.14851485148515
Kerala,2002,9.098170731707325,10.251219512195124,,125.58095238095238
Kerala,2005,9.935363457760301,19.35619047619048,69.42302878598248,100.54471544715447
Kerala,2006,9.656916099773197,17.918973214285707,67.733492442323,95.29514717581543
Kerala,2007,8.001632653061227,17.148016194331955,51.506321112515806,80.08912768647282
Kerala,2008,6.945961002785516,17.65121212121214,47.523136246786635,79.04434447300771
Kerala,2009,6.620000000000002,16.51970569417784,46.56495468277946,73.9619335347432
Kerala,2010,4.336634891816161,13.54105480622471,42.882370608234275,62.98020203246711
Kerala,2011,4.227283558379667,14.046364719904627,42.5484511517077,59.44432989690721
Kerala,2012,3.951666094125734,12.104190999656463,54.38852627962899,
Kerala,2013,3.8589925373134344,11.36108208955222,55.17313432835821,
Kerala,2014,4.168224299065421,12.575682961894323,50.9634555476096,
Madhya Pradesh,2001,19.088079470198675,26.06291390728477,,157.5
Madhya Pradesh,2002,13.617647058823527,24.279084967320262,,218.39285714285714
Madhya Pradesh,2003,0.0,0.0,0.0,0.0
Madhya Pradesh,2004,8.255948553054663,18.11497584541062,88.47936507936508,163.16640502354787
Madhya Pradesh,2005,12.522727272727275,18.703276131045243,96.03003003003003,190.7739520958084
Madhya Pradesh,2006,11.267107438016495,16.54239631336402,100.94714285714285,185.00566973777464
Madhya Pradesh,2007,10.903457627118616,17.34478417266184,107.1842105263158,221.69459172852598
Madhya Pradesh,2008,11.852287121745261,18.744196428571424,127.13072693952351,238.53456221198158
Madhya Pradesh,2009,11.50992301112061,17.90126282557222,121.87161639597835,238.72323379461034
Madhya Pradesh,2010,11.295002094972059,17.181028378673407,133.9099583333125,249.454891156619
Madhya Pradesh,2011,12.10693311582381,19.462055016181203,136.3392467191496,216.74022698612862
Madhya Pradesh,2012,12.50418280402787,21.04043377226953,124.31010719754977,
Madhya Pradesh,2013,12.21067024128685,22.150429338103727,145.06154891304345,228.97014925373134
Madhya Pradesh,2014,10.61300505050505,18.660236465463598,121.44910873434344,
Maharashtra,2001,20.12834645669291,32.50866141732285,,222.69724770642202
Maharashtra,2002,18.37528089887642,29.810861423220974,,219.54245283018867
Maharashtra,2003,5.903474903474904,18.723076923076924,,183.80722891566265
Maharashtra,2004,19.8477902097902,28.878195804195798,131.79825737265432,149.87344073647856
Maharashtra,2005,20.353805215540206,29.42313764183523,94.38078902229846,223.8953823953824
Maharashtra,2006,18.298466257668775,28.806482106684786,83.5870265914585,193.6155419222904
Maharashtra,2007,18.459686393525697,29.620431185761035,90.9985119047619,201.93097238895558
Maharashtra,2008,17.86620096722203,32.13819621870219,101.1085251707564,223.39252069654583
Maharashtra,2009,15.453224443818668,30.681975046456095,97.06031077166183,216.80975609756098
Maharashtra,2010,17.095384212311963,30.539045426839436,99.75789386572968,211.3127547216371
Maharashtra,2011,17.424544734758513,33.63604743083004,111.09370563180312,
Maharashtra,2012,16.802458547741566,33.093196112064035,103.64783385759222,
Maharashtra,2013,16.61453943407586,31.83747178329571,100.0633774569344,
Maharashtra,2014,18.145349742950614,35.74793581554759,105.91169599750818,
Manipur,2007,3.511111111111111,20.5375,64.67857142857143,130.17857142857142
Manipur,2008,4.9,19.154999999999998,84.2,238.4
Meghalaya,2001,3.8681818181818177,8.504545454545454,,75.79166666666667
Meghalaya,2002,3.94,9.515,,86.25
Meghalaya,2004,3.0650000000000004,10.570625000000003,54.20625,65.25
Meghalaya,2006,5.347619047619048,13.079629629629629,60.875,77.58035714285714
Meghalaya,2007,4.613333333333334,13.745161290322576,65.33823529411765,79.78676470588235
Meghalaya,2008,22.0,18.02584269662921,71.53846153846153,85.89349112426035
Meghalaya,2009,6.0,12.067605633802819,77.86046511627907,100.54263565891473
Meghalaya,2010,24.188785046476628,10.889615784065438,103.49532710454825,
Meghalaya,2011,17.438818565400844,10.31223628691983,90.00632911392405,
Meghalaya,2012,8.59529411764706,10.963317647058828,72.57908235294117,
Meghalaya,2013,5.3697347893915754,9.75233644859813,58.67550702028081,
Meghalaya,2014,4.875205254515599,10.261083743842365,56.85690789473684,
Mizoram,2005,,,27.856287425149702,93.58682634730539
Mizoram,2006,3.5680000000000005,10.70301507537688,38.8576512455516,95.96797153024912
Mizoram,2007,5.3,8.056140350877195,39.689419795221845,86.10921501706484
Mizoram,2008,,7.246285714285721,37.3042071197411,80.27508090614887
Mizoram,2010,2.0,5.512606837596155,41.596153846089734,86.5320512813782
Mizoram,2011,2.0,5.537590163934426,39.52178649238562,
Mizoram,2012,2.0,7.095744680851064,54.326241134751776,
Mizoram,2013,2.1385603397768027,6.701168717048329,48.71616871704745,
Mizoram,2014,2.041520467835965,6.189473684210526,43.069883040885955,
Nagaland,2003,,,74.4180790960452,137.5141242937853
Nagaland,2005,,14.759999999999998,79.76470588235294,154.16176470588235
Nagaland,2006,2.771428571428572,14.390094339622644,72.98584905660377,134.6179245283019
Nagaland,2007,3.121621621621622,14.082692307692323,67.4423076923077,124.625
Nagaland,2008,5.3,13.990277777777775,72.38425925925925,128.51388888888889
Nagaland,2009,3.7,16.276666666666667,79.4888888888889,144.05555555555554
Nagaland,2010,2.0,6.687488009593524,72.44244604316546,131.28776978417267
Nagaland,2011,2.0,6.1418269230769305,82.34134615384616,
Nagaland,2013,2.0,5.234256926952141,92.78643216080403,
Odisha,2001,9.10625,21.247500000000006,,158.10714285714286
Odisha,2002,10.630487804878046,16.45,,145.90243902439025
Odisha,2004,3.17502712477396,11.043967538322809,72.03754733994592,137.24250676284925
Odisha,2005,5.254074074074075,15.03807390817469,76.69873150105708,152.08245243128965
Odisha,2006,5.206242905788883,16.053471196454954,77.80100937274693,166.81641468682506
Odisha,2007,5.591397849462363,15.766951219512183,76.35870889159561,166.65508836075563
Odisha,2008,6.479314159292038,17.299751398384135,83.7352392790553,180.4244872591672
Odisha,2009,6.544191616766476,17.85108055009818,84.86378519973805,183.4950884086444
Odisha,2010,4.268662918856478,17.69545271156546,84.80456349168652,177.09671560816773
Odisha,2011,2.152737752161383,18.594942196502878,92.93467819423631,150.3421052631579
Odisha,2012,4.113880813953489,16.888190406976744,84.72318313953484,
Odisha,2013,4.086672879776328,17.020969245107175,85.9532463499068,
Odisha,2014,5.016246259085079,18.0718255664814,89.83283454467721,
Puducherry,2001,13.816000000000004,18.59583333333333,,81.11764705882354
Puducherry,2002,16.665714285714284,12.662857142857142,,12.382352941176471
Puducherry,2004,22.217543859649123,17.533333333333335,52.765567765567766,57.12280701754386
Puducherry,2005,15.67619047619047,14.588321167883208,50.785714285714285,80.48905109489051
Puducherry,2006,9.648905109489052,11.034241245136188,58.64035087719298,114.67615658362989
Puducherry,2007,4.5235807860262,8.118932038834949,49.82909090909091,79.24734982332156
Puducherry,2008,4.670297029702967,11.065094339622636,48.38,89.99086757990868
Puducherry,2009,2.9729729729729732,7.714285714285714,40.372093023255815,63.25581395348837
Puducherry,2010,5.8290392157176445,13.096084967043147,37.67464052317649,58.29999999992156
Puducherry,2011,7.233789954337898,15.589285714285714,41.87012987012987,
Puducherry,2012,7.506666666666667,13.755555555555556,40.11739130434783,
Puducherry,2013,6.196850393700787,13.743083003952568,42.88235294117647,
Puducherry,2014,9.015113350125944,12.345088161209068,39.97506234413965,
Punjab,2001,14.813541666666673,30.047916666666662,,259.48333333333335
Punjab,2002,11.684375000000005,29.17031249999999,,238.125
Punjab,2003,11.467032967032967,35.315934065934066,235.13223140495867,
Punjab,2004,14.870967741935484,37.07258064516129,232.93258426966293,0.0
Punjab,2005,15.671360608943848,32.533396764985724,219.50344036697248,189.73239436619718
Punjab,2006,12.252639442231068,31.42722747635646,215.5854700854701,263.62074554294975
Punjab,2007,11.154854809437328,32.21637188208628,200.5820991629105,271.0060790273556
Punjab,2008,10.134609646941765,30.59220843672468,218.2324093816631,257.36079077429986
Punjab,2009,9.423045977011462,29.121321839080572,203.89326765188835,226.95809523809524
Punjab,2010,10.452488687782806,27.254399195575665,193.60300668151447,205.92857142857142
Punjab,2011,10.160164458656865,26.056332876086216,164.59030635573845,110.0
Punjab,2012,9.644793926247289,27.04747188002142,161.57325481798716,
Punjab,2013,9.639264264264265,25.067222222222224,156.30110701107012,
Punjab,2014,9.002353864260494,23.93652561247216,131.95066273932252,
Rajasthan,2001,11.015942028985508,38.03298429319372,,288.511961722488
Rajasthan,2002,10.776168224299061,33.36962616822431,,77.09813084112149
Rajasthan,2003,10.350694444444445,14.472222222222221,,347.90277777777777
Rajasthan,2004,6.44965034965035,27.58082975679542,107.44585511575802,279.06643356643355
Rajasthan,2005,7.53930540242558,24.793563218390787,105.0635710337203,278.67072495849476
Rajasthan,2006,6.834328358208956,25.84310602289699,122.65815815815816,305.29164582291145
Rajasthan,2007,6.924216111915114,24.87784749034747,115.46976967370442,292.93410293410295
Rajasthan,2008,6.859831460674156,28.88460458586808,129.35127610208818,308.30404463040446
Rajasthan,2009,6.28486513486513,27.88832917705735,130.12236906510034,309.269833496572
Rajasthan,2010,6.730209664197542,29.90296501153392,164.46735462730243,366.6429980277663
Rajasthan,2011,6.8903486609398685,29.62455785750379,162.93995963673058,
Rajasthan,2012,8.44584112149533,37.45882431529724,166.53823020625418,
Rajasthan,2013,6.9932203389830505,30.232911380159816,172.71127214157974,
Rajasthan,2014,7.42010840875,34.511902337839366,161.61029411766398,
Sikkim,2007,19.8,26.8,32.0,75.0
Tamil Nadu,2001,11.220491803278687,24.05142857142858,,95.19285714285714
Tamil Nadu,2002,13.55869565217391,25.904812834224607,,62.72872340425532
Tamil Nadu,2004,6.243097826086956,22.43653985507246,49.65241316270567,134.40300546448094
Tamil Nadu,2005,11.884745762711855,25.56024279210928,54.924963924963926,119.85078909612625
Tamil Nadu,2006,12.56587490102928,25.962737341772183,58.306340718105425,119.061115355233
Tamil Nadu,2007,13.55475482912333,21.83539955190441,64.9644180874722,131.93851851851852
Tamil Nadu,2008,13.367003610108306,21.85787572254334,68.8220171390903,133.12664907651714
Tamil Nadu,2009,11.1706457925636,20.987512291052095,71.94785847299813,146.3240223463687
Tamil Nadu,2010,9.049942340406409,19.51682932740347,69.92976600136967,143.43489871002757
Tamil Nadu,2011,10.28891736066624,22.2431133888533,78.18577834721333,
Tamil Nadu,2012,10.433019976498237,20.65865023474178,72.46574579222288,
Tamil Nadu,2013,11.810067681895093,21.695193929173694,71.60225375626044,
Tamil Nadu,2014,11.503138075313808,22.136775994417306,62.49426086956522,
Uttar Pradesh,2001,23.765865384615395,25.66586538461538,,343.0460251046025
Uttar Pradesh,2002,17.515760869565216,23.469729729729718,,323.590243902439
Uttar Pradesh,2004,15.891605633802822,25.266648168701398,150.6358768406961,188.0377149195785
Uttar Pradesh,2005,13.55471175166289,24.82154845695724,173.43361244019138,371.70684371807965
Uttar Pradesh,2006,12.194017094017054,25.494647606382987,177.07672349888807,378.562480127186
Uttar Pradesh,2007,13.551511254019248,27.599649532710423,169.8552787663108,394.5035868005739
Uttar Pradesh,2008,12.186219676549854,29.141555555555644,181.7239875389408,412.8624338624339
Uttar Pradesh,2009,11.256636471051575,28.137153024911104,178.19902063658623,398.53216783216783
Uttar Pradesh,2010,12.740232398444922,30.65908602521393,183.30806028329428,391.41471452294235
Uttar Pradesh,2011,11.04288079470198,29.350636492220655,161.19694083755255,245.3875
Uttar Pradesh,2012,13.08961069836553,29.988567607726587,190.19233617396415,
Uttar Pradesh,2013,10.6071076011846,26.904960707269154,184.72178988326849,425.22222222222223
Uttar Pradesh,2014,10.426510067114092,26.929012060559412,179.32303176620078,
Uttarakhand,2004,18.75,24.0,145.28571428571428,264.4
Uttarakhand,2010,28.288499999999996,30.147699999999997,151.41368749575003,333.23324999625004
